x,y
-0.0,19.41
-6.66667,19.37
-13.33333,19.35
-20.0,19.36
-26.66667,19.38
-33.33333,19.5
-40.0,19.82
-46.66667,20.16
-53.33333,20.15
-60.0,19.88
-66.66667,19.72
-73.33333,19.71
-80.0,19.73
-86.66667,19.69
-93.33333,19.62
-100.0,19.57
-106.66667,19.61
-113.33333,19.53
-120.0,19.54
-126.66667,19.6
-133.33333,19.5
-140.0,19.45
-146.66667,19.44
-153.33333,19.32
-160.0,19.21
-166.66667,19.12
-173.33333,18.98
-180.0,18.85
-186.66667,18.7
-193.33333,18.6
-200.0,18.46
-206.66667,18.31
-213.33333,18.13
-220.0,17.98
-226.66667,17.88
-233.33333,17.65
-240.0,17.35
-246.66667,17.05
-253.33333,16.82
-260.0,16.43
-266.66667,15.89
-273.33333,15.34
-280.0,14.8
-286.66667,14.19
-293.33333,13.5
-300.0,12.72
-306.66667,12.41
-313.33333,12.98
-320.0,13.37
-326.66667,13.7
-333.33333,14.59
-340.0,15.97
-346.66667,17.67
-353.33333,19.77
-360.0,22.6
-366.66667,26.25
-373.33333,28.49
-380.0,27.85
-386.66667,26.01
-393.33333,24.29
-400.0,22.95
-406.66667,22.36
-413.33333,22.22
-420.0,22.0
-426.66667,21.83
-433.33333,21.92
-440.0,22.02
-446.66667,21.81
-453.33333,21.59
-460.0,21.43
-466.66667,21.25
-473.33333,21.03
-480.0,20.99
-486.66667,21.04
-493.33333,21.08
-500.0,21.16
-506.66667,21.22
-513.33333,21.21
-520.0,20.97
-526.66667,20.69
-533.33333,20.61
-540.0,20.72
-546.66667,20.82
-553.33333,20.91
-560.0,20.88
-566.66667,20.79
-573.33333,20.72
-580.0,20.79
-586.66667,20.75
-593.33333,20.61
-600.0,20.52
-606.66667,20.47
-613.33333,20.55
-620.0,20.76
-626.66667,20.89
-633.33333,20.86
-640.0,20.84
-646.66667,20.98
-653.33333,21.09
-660.0,21.14
-666.66667,21.07
-673.33333,20.9
-680.0,20.84
-686.66667,20.84
-693.33333,20.84
-700.0,20.8
-706.66667,20.86
-713.33333,20.97
-720.0,21.03
-726.66667,20.96
-733.33333,20.87
-740.0,20.89
-746.66667,20.89
-753.33333,20.87
-760.0,20.94
-766.66667,20.88
-773.33333,20.74
-780.0,20.72
-786.66667,20.81
-793.33333,21.01
-800.0,21.03
-806.66667,20.89
-813.33333,20.79
-820.0,20.88
-826.66667,20.9
-833.33333,20.77
-840.0,20.73
-846.66667,20.92
-853.33333,21.04
-860.0,21.05
-866.66667,20.95
-873.33333,20.71
-880.0,20.73
-886.66667,20.95
-893.33333,20.95
-900.0,20.72
-906.66667,20.71
-913.33333,20.84
-920.0,20.81
-926.66667,20.74
-933.33333,20.77
-940.0,20.72
-946.66667,20.68
-953.33333,20.65
-960.0,20.56
-966.66667,20.55
-973.33333,20.63
-980.0,20.82
-986.66667,20.81
-993.33333,20.53
-1000.0,20.41
-1006.66667,20.57
-1013.33333,20.7
-1020.0,20.68
-1026.66667,20.57
-1033.33333,20.44
-1040.0,20.53
-1046.66667,20.64
-1053.33333,20.65
-1060.0,20.64
-1066.66667,20.69
-1073.33333,20.75
-1080.0,20.81
-1086.66667,20.82
-1093.33333,20.86
-1100.0,20.95
-1106.66667,21.02
-1113.33333,21.04
-1120.0,21.07
-1126.66667,21.22
-1133.33333,21.31
-1140.0,21.28
-1146.66667,21.31
-1153.33333,21.43
-1160.0,21.54
-1166.66667,21.7
-1173.33333,21.83
-1180.0,21.99
-1186.66667,22.13
-1193.33333,22.34
-1200.0,22.69
-1206.66667,22.98
-1213.33333,23.24
-1220.0,23.73
-1226.66667,24.61
-1233.33333,25.92
-1240.0,27.23
-1246.66667,26.88
-1253.33333,24.86
-1260.0,22.47
-1266.66667,20.11
-1273.33333,18.0
-1280.0,16.13
-1286.66667,14.7
-1293.33333,13.78
-1300.0,13.2
-1306.66667,12.63
-1313.33333,12.38
-1320.0,13.02
-1326.66667,13.95
-1333.33333,14.68
-1340.0,15.37
-1346.66667,16.02
-1353.33333,16.64
-1360.0,17.16
-1366.66667,17.56
-1373.33333,17.9
-1380.0,18.03
-1386.66667,18.16
-1393.33333,18.42
-1400.0,18.66
-1406.66667,18.87
-1413.33333,19.04
-1420.0,19.14
-1426.66667,19.27
-1433.33333,19.46
-1440.0,19.62
-1446.66667,19.76
-1453.33333,19.84
-1460.0,19.9
-1466.66667,20.02
-1473.33333,20.14
-1480.0,20.25
-1486.66667,20.39
-1493.33333,20.41
-1500.0,20.26
-1506.66667,20.2
-1513.33333,20.31
-1520.0,20.36
-1526.66667,20.24
-1533.33333,20.2
-1540.0,20.49
-1546.66667,20.68
-1553.33333,20.62
-1560.0,20.52
-1566.66667,20.39
-1573.33333,20.3
-1580.0,20.25
-1586.66667,20.31
-1593.33333,20.22
