x,y
-0.0,19.56
-6.66667,19.61
-13.33333,19.57
-20.0,19.63
-26.66667,19.69
-33.33333,19.64
-40.0,19.68
-46.66667,19.78
-53.33333,19.77
-60.0,19.67
-66.66667,19.61
-73.33333,19.83
-80.0,20.29
-86.66667,20.44
-93.33333,20.13
-100.0,19.73
-106.66667,19.59
-113.33333,19.65
-120.0,19.65
-126.66667,19.63
-133.33333,19.7
-140.0,19.82
-146.66667,19.7
-153.33333,19.61
-160.0,19.7
-166.66667,19.76
-173.33333,19.59
-180.0,19.2
-186.66667,19.02
-193.33333,19.04
-200.0,18.88
-206.66667,18.56
-213.33333,18.34
-220.0,18.11
-226.66667,17.86
-233.33333,17.56
-240.0,17.16
-246.66667,16.62
-253.33333,16.02
-260.0,15.48
-266.66667,14.99
-273.33333,14.48
-280.0,13.88
-286.66667,13.3
-293.33333,12.69
-300.0,11.98
-306.66667,11.69
-313.33333,12.26
-320.0,12.9
-326.66667,13.31
-333.33333,14.29
-340.0,16.02
-346.66667,18.19
-353.33333,20.99
-360.0,23.55
-366.66667,25.24
-373.33333,26.3
-380.0,26.0
-386.66667,24.76
-393.33333,23.73
-400.0,23.11
-406.66667,22.69
-413.33333,22.36
-420.0,21.97
-426.66667,21.55
-433.33333,21.29
-440.0,21.19
-446.66667,20.99
-453.33333,20.72
-460.0,20.51
-466.66667,20.41
-473.33333,20.36
-480.0,20.35
-486.66667,20.45
-493.33333,20.53
-500.0,20.49
-506.66667,20.52
-513.33333,20.62
-520.0,20.65
-526.66667,20.58
-533.33333,20.48
-540.0,20.46
-546.66667,20.34
-553.33333,20.3
-560.0,20.38
-566.66667,20.41
-573.33333,20.42
-580.0,20.52
-586.66667,20.63
-593.33333,20.6
-600.0,20.61
-606.66667,20.63
-613.33333,20.57
-620.0,20.48
-626.66667,20.34
-633.33333,20.18
-640.0,19.99
-646.66667,19.96
-653.33333,20.05
-660.0,20.16
-666.66667,20.18
-673.33333,20.18
-680.0,20.01
-686.66667,19.88
-693.33333,19.79
-700.0,19.79
-706.66667,19.92
-713.33333,20.04
-720.0,19.99
-726.66667,19.83
-733.33333,19.78
-740.0,19.77
-746.66667,19.54
-753.33333,19.38
-760.0,19.48
-766.66667,19.53
-773.33333,19.51
-780.0,19.63
-786.66667,19.95
-793.33333,20.19
-800.0,20.24
-806.66667,19.99
-813.33333,19.76
-820.0,19.85
-826.66667,20.09
-833.33333,19.98
-840.0,19.67
-846.66667,19.55
-853.33333,19.48
-860.0,19.44
-866.66667,19.49
-873.33333,19.54
-880.0,19.48
-886.66667,19.36
-893.33333,19.3
-900.0,19.26
-906.66667,19.29
-913.33333,19.34
-920.0,19.36
-926.66667,19.39
-933.33333,19.56
-940.0,19.68
-946.66667,19.58
-953.33333,19.56
-960.0,19.65
-966.66667,19.73
-973.33333,19.73
-980.0,19.69
-986.66667,19.68
-993.33333,19.71
-1000.0,19.77
-1006.66667,19.86
-1013.33333,19.86
-1020.0,19.85
-1026.66667,19.96
-1033.33333,20.02
-1040.0,19.96
-1046.66667,19.81
-1053.33333,19.79
-1060.0,19.83
-1066.66667,19.89
-1073.33333,19.92
-1080.0,19.88
-1086.66667,19.8
-1093.33333,19.78
-1100.0,19.92
-1106.66667,20.22
-1113.33333,20.32
-1120.0,20.23
-1126.66667,20.25
-1133.33333,20.11
-1140.0,20.1
-1146.66667,20.24
-1153.33333,20.14
-1160.0,20.0
-1166.66667,20.07
-1173.33333,20.34
-1180.0,20.67
-1186.66667,20.94
-1193.33333,21.26
-1200.0,21.76
-1206.66667,22.39
-1213.33333,22.98
-1220.0,23.44
-1226.66667,24.02
-1233.33333,24.89
-1240.0,25.53
-1246.66667,25.61
-1253.33333,24.65
-1260.0,22.42
-1266.66667,19.61
-1273.33333,17.03
-1280.0,14.99
-1286.66667,13.51
-1293.33333,12.9
-1300.0,12.67
-1306.66667,11.89
-1313.33333,11.58
-1320.0,12.11
-1326.66667,12.8
-1333.33333,13.4
-1340.0,14.01
-1346.66667,14.61
-1353.33333,15.21
-1360.0,15.87
-1366.66667,16.49
-1373.33333,16.97
-1380.0,17.35
-1386.66667,17.69
-1393.33333,17.96
-1400.0,18.17
-1406.66667,18.44
-1413.33333,18.53
-1420.0,18.66
-1426.66667,18.87
-1433.33333,19.1
-1440.0,19.4
-1446.66667,19.6
-1453.33333,19.74
-1460.0,19.76
-1466.66667,19.76
-1473.33333,19.8
-1480.0,19.91
-1486.66667,20.04
-1493.33333,20.13
-1500.0,20.17
-1506.66667,20.16
-1513.33333,20.24
-1520.0,20.33
-1526.66667,20.4
-1533.33333,20.29
-1540.0,20.18
-1546.66667,20.27
-1553.33333,20.29
-1560.0,20.25
-1566.66667,20.14
-1573.33333,19.98
-1580.0,19.79
-1586.66667,19.57
-1593.33333,19.51
