x,y
-0.0,19.575
-6.66667,19.64
-13.33333,19.625
-20.0,19.625
-26.66667,19.56
-33.33333,19.485
-40.0,19.455
-46.66667,19.435
-53.33333,19.355
-60.0,19.315
-66.66667,19.295
-73.33333,19.27
-80.0,19.22
-86.66667,19.155
-93.33333,19.145
-100.0,19.18
-106.66667,19.15
-113.33333,19.03
-120.0,18.975
-126.66667,18.9
-133.33333,18.76
-140.0,18.695
-146.66667,18.585
-153.33333,18.4
-160.0,18.225
-166.66667,18.02
-173.33333,17.83
-180.0,17.64
-186.66667,17.445
-193.33333,17.265
-200.0,16.985
-206.66667,16.665
-213.33333,16.365
-220.0,16.05
-226.66667,15.735
-233.33333,15.355
-240.0,14.925
-246.66667,14.51
-253.33333,14.07
-260.0,13.45
-266.66667,12.85
-273.33333,12.325
-280.0,11.87
-286.66667,11.605
-293.33333,11.16
-300.0,10.88
-306.66667,11.435
-313.33333,12.68
-320.0,14.04
-326.66667,15.705
-333.33333,17.72
-340.0,19.39
-346.66667,20.605
-353.33333,21.775
-360.0,22.775
-366.66667,23.395
-373.33333,23.365
-380.0,22.74
-386.66667,22.085
-393.33333,21.655
-400.0,21.18
-406.66667,20.785
-413.33333,20.525
-420.0,20.27
-426.66667,20.025
-433.33333,19.745
-440.0,19.55
-446.66667,19.53
-453.33333,19.49
-460.0,19.44
-466.66667,19.595
-473.33333,19.715
-480.0,19.665
-486.66667,19.6
-493.33333,19.51
-500.0,19.48
-506.66667,19.405
-513.33333,19.34
-520.0,19.26
-526.66667,19.145
-533.33333,19.05
-540.0,18.97
-546.66667,18.86
-553.33333,18.93
-560.0,19.09
-566.66667,19.195
-573.33333,19.26
-580.0,19.15
-586.66667,19.005
-593.33333,19.03
-600.0,19.08
-606.66667,19.055
-613.33333,18.94
-620.0,18.81
-626.66667,18.8
-633.33333,18.83
-640.0,18.805
-646.66667,18.81
-653.33333,18.705
-660.0,18.645
-666.66667,18.645
-673.33333,18.61
-680.0,18.6
-686.66667,18.62
-693.33333,18.565
-700.0,18.525
-706.66667,18.52
-713.33333,18.55
-720.0,18.625
-726.66667,18.59
-733.33333,18.545
-740.0,18.64
-746.66667,18.685
-753.33333,18.59
-760.0,18.495
-766.66667,18.555
-773.33333,18.705
-780.0,18.73
-786.66667,18.68
-793.33333,18.625
